,Site,datetime,NH4,Cl,stamps,slope_sample,kw,sw,Uadd,sp
6,BWL,11/21/22 10:33,0.173,1.804155439,5-Jun,0.002706932,-0.007998074,125.0300974,0.000311186,NH4Cl
7,BWL,11/21/22 10:34,0.7709,6.638639416,6-Jul,0.127635077,-0.007095763,140.9291624,0.000276079,NH4Cl
8,BWL,11/21/22 10:35,1.2398,11.28176782,7-Aug,-0.055134229,-0.005819413,171.8386465,0.000226419,NH4Cl
9,BWL,11/21/22 10:36,1.7597,14.68023295,8-Sep,0.086879328,-0.006186974,161.6298962,0.00024072,NH4Cl
10,BWL,11/21/22 10:37,2.4004,16.45129819,9-Oct,0.19658955,-0.005607779,178.3237275,0.000218185,NH4Cl
11,BWL,11/21/22 10:38,2.0959,17.28139872,10-Nov,-0.00336143,-0.004297182,232.7106628,0.000167193,NH4Cl
12,BWL,11/21/22 10:39,2.0701,15.92476528,11-Dec,0.064033017,-0.005529706,180.8414404,0.000215148,NH4Cl
13,BWL,11/21/22 10:41,1.7325,12.90902989,13-12,0.015958471,-0.005067245,197.3458822,0.000197154,NH4Cl
14,BWL,11/21/22 10:43,1.4142,9.845578616,14-13,0.033951561,-0.004854466,205.9958928,0.000188876,NH4Cl
15,BWL,11/21/22 10:45,1.0098,7.164945184,15-14,-0.009494818,-0.004401778,227.1809134,0.000171263,NH4Cl
16,BWL,11/21/22 10:47,0.803,5.393894895,16-15,0.027389908,-0.004528376,220.8297283,0.000176188,NH4Cl
17,BWL,11/21/22 10:50,0.6108,3.95785816,17-16,0.014391835,-0.004163177,240.2011707,0.000161979,NH4Cl
18,BWL,11/21/22 10:54,0.3606,2.186626505,18-17,0.0165857,-0.003923313,254.8866146,0.000152647,NH4Cl
19,BWL,11/21/22 10:59,0.2116,1.468595963,19-18,-0.027003696,-0.003481028,287.2714786,0.000135438,NH4Cl
20,BWL,11/21/22 11:06,0.0842,0.558892187,20-19,0.006371819,-0.004381151,228.2505218,0.00017046,NH4Cl
21,BWL,11/21/22 11:13,0.0361,0.415169545,21-20,-0.078518921,-0.004083799,244.8700065,0.000158891,NH4Cl
