,Site,datetime,NH4,Cl,stamps,slope_sample,kw,sw,Uadd,sp
4,GBL,4/7/22 11:51,2.0787,31.9047619,3-Apr,0.061219564,-0.033709022,29.66564899,0.051675599,NH4Cl
5,GBL,4/7/22 11:52,3.9277,57.61904762,4-May,0.001291811,-0.011844891,84.42458134,0.018158102,NH4Cl
6,GBL,4/7/22 11:52,4.0282,72.38095238,5-Jun,-0.010141218,-0.011198986,89.29379949,0.017167935,NH4Cl
7,GBL,4/7/22 11:53,3.8498,80.47619048,6-Jul,-0.004323332,-0.014096477,70.93971184,0.02160976,NH4Cl
8,GBL,4/7/22 11:53,3.9234,79.04761905,7-Aug,0.002456557,-0.016258143,61.50764039,0.024923573,NH4Cl
9,GBL,4/7/22 11:53,3.1468,72.38095238,8-Sep,-0.00883102,-0.015731738,63.5657685,0.024116599,NH4Cl
10,GBL,4/7/22 11:54,2.6999,57.61904762,9-Oct,0.002497288,-0.017624099,56.74048896,0.027017571,NH4Cl
11,GBL,4/7/22 11:54,2.0531,48.57142857,10-Nov,-0.003434872,-0.016553833,60.40897101,0.025376863,NH4Cl
12,GBL,4/7/22 11:55,1.4778,34.28571429,11-Dec,0.000650345,-0.018025921,55.47566855,0.027633559,NH4Cl
13,GBL,4/7/22 11:55,0.8679,21.9047619,13-12,-0.001871301,-0.017747201,56.34691204,0.027206285,NH4Cl
14,GBL,4/7/22 11:56,0.5252,15.23809524,14-13,-0.003097597,-0.018950181,52.76994516,0.029050441,NH4Cl
15,GBL,4/7/22 11:57,0.2756,7.619047619,15-14,0.048318577,-0.020941493,47.75208693,0.032103103,NH4Cl
16,GBL,4/7/22 11:59,0.0908,3.80952381,16-15,-0.278096049,-0.020251228,49.37972222,0.031044933,NH4Cl
17,GBL,4/7/22 12:03,0.0311,0.476190476,17-16,0.251997519,-0.026210429,38.15275243,0.04018033,NH4Cl
18,GBL,4/7/22 12:08,0.0087,0,18-17,Inf,-0.011810571,84.66991458,0.018105489,NH4Cl
