,Site,datetime,NH4,Cl,stamps,slope_sample,kw,sw,Uadd,sp
3,GBU,2022-10-03T14:41:30Z,3.99125,63.14573245,2-Mar,0.066589939,-0.019762464,50.60097732,0.001632848,NH4Cl
4,GBU,2022-10-03T14:42:30Z,9.85665,157.4577166,3-Apr,-0.009669798,-0.018430665,54.25740094,0.00152281,NH4Cl
5,GBU,2022-10-03T14:43:00Z,13.53695,211.3028151,4-May,0.000771378,-0.018624061,53.69398126,0.001538789,NH4Cl
6,GBU,2022-10-03T14:43:30Z,18.02105,261.1336485,5-Jun,0.002479248,-0.018161235,55.062336,0.001500549,NH4Cl
7,GBU,2022-10-03T14:44:00Z,19.55765,297.3965977,6-Jul,-0.001606942,-0.016673686,59.97474211,0.001377642,NH4Cl
8,GBU,2022-10-03T14:45:00Z,22.72615,323.0518962,7-Aug,0.067403344,-0.017637851,56.69624982,0.001457305,NH4Cl
9,GBU,2022-10-03T14:46:00Z,21.12765,302.2210497,8-Sep,-0.006279357,-0.016289784,61.38816816,0.001345923,NH4Cl
10,GBU,2022-10-03T14:47:00Z,16.90675,256.0683025,9-Oct,-0.057155172,-0.016415371,60.91851294,0.001356299,NH4Cl
11,GBU,2022-10-03T14:48:00Z,17.50505,208.0991688,10-Nov,0.242205937,-0.017558475,56.95255556,0.001450747,NH4Cl
12,GBU,2022-10-03T14:49:00Z,7.72505,160.5609838,11-Dec,-0.558680208,-0.012714356,78.65125149,0.001050507,NH4Cl
13,GBU,2022-10-03T14:51:00Z,7.72505,89.27638741,13-12,0.293468399,-0.02388796,41.86209282,0.001973712,NH4Cl
14,GBU,2022-10-03T14:52:00Z,3.24545,66.58237466,14-13,-0.573917143,-0.012149224,82.30978326,0.001003814,NH4Cl
15,GBU,2022-10-03T14:54:00Z,3.22465,35.09692839,15-14,0.316948342,-0.023627567,42.32344374,0.001952198,NH4Cl
16,GBU,2022-10-03T14:56:00Z,1.70595,19.80744771,16-15,-0.032323337,-0.010949633,91.32725954,0.0009047,NH4Cl
17,GBU,2022-10-03T14:59:00Z,0.98935,9.678379447,17-16,0.057111427,-0.012242567,81.68221739,0.001011527,NH4Cl
18,GBU,2022-10-03T15:04:00Z,0.42695,4.23016393,18-17,-0.002545505,-0.008815881,113.4316565,0.000728401,NH4Cl
19,GBU,2022-10-03T15:10:10Z,0.20335,2.211203635,19-18,-0.015086681,-0.009070432,110.2483371,0.000749433,NH4Cl
